"X1","X2","X3"
"t_ONO_06",0,1
"t_ONO_07",0,1
"t_ONO_08",0,1
"t_ONO_09",0,1
"t_ONO_10",0,1
"t_ONO_11",0,1
"t_ONO_12",0,1
"t_ONO_13",0,1
"t_ONO_14",0,1
"t_ONO_15",0,1
"t_ONO_16",0,1
"t_ONO_17",0,1
"t_ONO_18",0,1
"t_ONO_19",0,1
"t_ONO_20",0,1
"t_ONO_21",0,1
"t_ONO_22",0,1
"t_ONO_23",0,1
"t_ONO_24",0,1
"t_ONO_25",0,1
"t_ONO_26",0,1
"t_ONO_27",0,1
"t_ONO_28",0,1
"t_ONE_01",0,1
"t_ONE_02",0,1
"t_ONE_03",0,1
"t_ONE_04",0,1
"t_ONE_05",0,1
"t_ONE_06",0,1
"t_ONE_07",0,1
"t_ONE_08",0,1
"t_ONE_09",0.015,0.985
"t_ONE_10",0,1
"t_ONE_11",0,1
"t_ONE_12",0,1
"t_ONE_13",0,1
"t_ONE_14",0,1
"t_ONE_15",0,1
"t_ONE_16",0,1
"t_ONE_17",0,1
"t_ONE_18",0,1
"t_ONE_19",0.128,0.872
"t_ONE_20",0,1
"t_ONE_21",0,1
"t_ONE_22",0,1
"t_ONE_23",0,1
"t_ONE_24",0,1
"t_ONE_25",0,1
"t_ONE_26",0,1
"t_ONE_27",0.001,0.999
"t_ONE_28",0,1
