"X1","X2","X3","X4"
"t_ONE_05","0.000","1.000","0.000"
"t_ONE_06","0.000","1.000","0.000"
"t_ONE_07","0.000","1.000","0.000"
"t_ONE_08","0.000","1.000","0.000"
"t_ONE_09","0.000","0.593","0.407"
"t_ONE_10","0.000","1.000","0.000"
"t_ONE_11","0.000","1.000","0.000"
"t_ONE_12","0.000","1.000","0.000"
"t_ONE_13","0.000","1.000","0.000"
"t_ONE_14","0.000","1.000","0.000"
"t_ONE_15","0.000","1.000","0.000"
"t_ONE_16","0.000","1.000","0.000"
"t_ONE_17","0.000","0.991","0.009"
"t_ONE_18","0.000","1.000","0.000"
"t_ONE_19","0.000","0.057","0.943"
"t_ONE_20","0.000","1.000","0.000"
"t_ONE_21","0.000","0.990","0.010"
"t_ONE_22","0.000","1.000","0.000"
"t_ONE_23","0.000","1.000","0.000"
"t_ONE_24","0.000","1.000","0.000"
"t_ONE_25","0.000","1.000","0.000"
"t_ONE_26","0.000","0.950","0.050"
"t_ONE_27","0.000","0.979","0.021"
"t_ONE_28","0.000","1.000","0.000"
"t_OSW_01","0.000","0.000","1.000"
"t_OSW_02","0.000","0.000","1.000"
"t_OSW_03","0.000","0.000","1.000"
"t_OSW_04","0.000","0.001","0.999"
"t_OSW_05","0.000","0.000","1.000"
"t_OSW_06","0.000","0.000","1.000"
"t_OSW_07","0.000","0.000","1.000"
"t_OSW_08","0.000","0.004","0.996"
"t_OSW_09","0.000","0.133","0.867"
"t_OSW_10","0.000","0.000","1.000"
"t_OSW_11","0.000","0.000","1.000"
"t_OSW_12","0.000","0.000","1.000"
"t_OSW_13","0.000","0.384","0.616"
"t_OSW_14","0.000","0.000","1.000"
"t_OSW_15","0.000","0.000","1.000"
"t_OSW_16","0.000","0.000","1.000"
"t_OSW_17","0.000","0.000","1.000"
"t_OSW_18","0.000","0.000","1.000"
"t_OSW_19","0.000","0.000","1.000"
"t_OSW_20","0.000","0.996","0.004"
"t_OSW_21","0.000","0.000","1.000"
"t_OSW_22","0.000","0.000","1.000"
"t_OSW_23","0.000","0.000","1.000"
"t_OSW_24","0.000","0.000","1.000"
"t_OSW_25","0.000","0.000","1.000"
"t_OSW_26","0.000","0.001","0.999"
"t_OSW_27","0.000","0.000","1.000"
"t_OSW_28","0.000","0.002","0.998"
"t_CAY_01","0.000","1.000","0.000"
"t_CAY_02","0.000","1.000","0.000"
"t_CAY_03","0.000","1.000","0.000"
"t_CAY_04","0.000","1.000","0.000"
"t_CAY_05","0.000","1.000","0.000"
"t_CAY_06","0.000","1.000","0.000"
"t_CAY_07","0.000","1.000","0.000"
"t_CAY_08","0.000","1.000","0.000"
"t_CAY_09","0.000","1.000","0.000"
"t_CAY_10","0.000","1.000","0.000"
"t_CAY_11","0.000","1.000","0.000"
"t_CAY_12","0.000","1.000","0.000"
"t_CAY_13","0.000","1.000","0.000"
"t_CAY_14","0.000","1.000","0.000"
"t_CAY_15","0.000","1.000","0.000"
"t_ERIW_01","0.598","0.000","0.402"
"t_ERIW_02","0.000","0.000","1.000"
"t_ERIW_03","0.000","0.000","1.000"
"t_ERIW_04","0.000","0.000","1.000"
"t_ERIW_05","0.000","0.000","1.000"
"t_ERIW_06","0.000","0.000","1.000"
"t_ERIW_07","0.000","0.000","1.000"
"t_ERIW_08","0.004","0.000","0.996"
"t_ERIW_09","0.001","0.005","0.994"
"t_ECAN_01","0.000","1.000","0.000"
"t_ECAN_02","0.000","1.000","0.000"
"t_ECAN_03","0.000","0.999","0.000"
"t_ECAN_04","0.000","1.000","0.000"
"t_ECAN_05","0.000","1.000","0.000"
"t_ECAN_06","0.000","1.000","0.000"
"t_ECAN_07","0.000","1.000","0.000"
"t_ECAN_08","0.000","1.000","0.000"
"t_ECAN_09","0.000","1.000","0.000"
"t_ECAN_10","0.000","1.000","0.000"
"t_ECAN_11","0.000","1.000","0.000"
"t_ECAN_12","0.000","1.000","0.000"
"t_ECAN_13","0.000","1.000","0.000"
"t_ECAN_14","0.000","1.000","0.000"
"t_ECAN_15","0.000","1.000","0.000"
"t_ECAN_16","0.000","1.000","0.000"
"t_ECAN_17","0.000","1.000","0.000"
"t_ECAN_18","0.000","1.000","0.000"
"t_ECAN_19","0.000","1.000","0.000"
"t_ECAN_20","0.000","0.950","0.050"
"t_ERIE_01","0.000","1.000","0.000"
"t_ERIE_02","0.000","0.279","0.721"
"t_ERIE_03","0.000","0.664","0.336"
"t_ERIE_04","0.000","0.976","0.024"
"t_ERIE_05","0.000","0.997","0.003"
"t_ERIE_06","0.000","0.993","0.007"
"t_ERIE_07","0.000","1.000","0.000"
"t_ERIE_08","0.000","0.519","0.481"
